Country,Year,GDP(USD)
Afghanistan,2000,0
Afghanistan,2001,0
Afghanistan,2002,233.433
Afghanistan,2003,233.755
Afghanistan,2004,254.259
Afghanistan,2005,294.396
Afghanistan,2006,320.674
Afghanistan,2007,381.502
Afghanistan,2008,447.746
Afghanistan,2009,511.374
Afghanistan,2010,631.49
Afghanistan,2011,714.7
Afghanistan,2012,784.611
Afghanistan,2013,754.402
Afghanistan,2014,746.922
Afghanistan,2015,705.597
Afghanistan,2016,617.126
Afghanistan,2017,635.789
Afghanistan,2018,582.323
Afghanistan,2019,586.204
Afghanistan,2020,611.268
Albania,2000,0
Albania,2001,1127.64
Albania,2002,1283.573
Albania,2003,1425.125
Albania,2004,1846.119
Albania,2005,2373.58
Albania,2006,2673.773
Albania,2007,2972.745
Albania,2008,3595.053
Albania,2009,4370.562
Albania,2010,4114.09
Albania,2011,4097.833
Albania,2012,4439.89
Albania,2013,4248.909
Albania,2014,4415.6
Albania,2015,4584.919
Albania,2016,3953.611
Albania,2017,4124.405
Albania,2018,4525.887
Albania,2019,5257.714
Albania,2020,5345.058
